FileName,Class
2011_002121.jpg,dog
2008_005414.jpg,chair
2010_001021.jpg,cat
2010_001689.jpg,dog
2011_001900.jpg,cat
2011_006602.jpg,person
2010_000014.jpg,dog
2008_002344.jpg,train
2011_000392.jpg,bird
2009_004824.jpg,car
2011_004689.jpg,person
2012_002758.jpg,person
2010_002195.jpg,pottedplant
2010_003362.jpg,bird
2010_000870.jpg,dog
2008_000233.jpg,person
2011_001111.jpg,chair
2010_000829.jpg,bicycle
2008_002340.jpg,person
2011_004228.jpg,person
2009_003540.jpg,person
2011_004199.jpg,person
2012_004319.jpg,person
2008_004619.jpg,chair
2008_000154.jpg,bottle
2009_003032.jpg,boat
2010_005897.jpg,dog
2010_004994.jpg,bird
2011_001592.jpg,boat
2011_000362.jpg,person
2011_004874.jpg,person
2012_000967.jpg,person
2011_003413.jpg,person
2011_004758.jpg,person
2008_006924.jpg,person
2011_006165.jpg,person
2010_003818.jpg,cat
2010_005474.jpg,car
2010_005987.jpg,dog
2010_004104.jpg,cat
2010_006390.jpg,person
2008_007613.jpg,cat
2012_003314.jpg,person
2008_008404.jpg,bird
2012_000294.jpg,person
2008_008623.jpg,sheep
2008_001262.jpg,car
2011_000419.jpg,cat
2009_002199.jpg,aeroplane
2012_003347.jpg,person
2007_004052.jpg,aeroplane
2011_006804.jpg,person
2008_003037.jpg,tvmonitor
2008_001542.jpg,horse
2008_005525.jpg,horse
2009_003022.jpg,train
2011_005714.jpg,person
2011_005795.jpg,person
2010_004878.jpg,bicycle
2009_002689.jpg,train
2010_005236.jpg,car
2012_002281.jpg,person
2010_004625.jpg,bus
2009_003217.jpg,dog
2012_002462.jpg,person
2011_006603.jpg,person
2011_005556.jpg,person
2011_005836.jpg,person
2011_002974.jpg,bottle
2010_002721.jpg,diningtable
2008_003636.jpg,pottedplant
2010_003482.jpg,train
2011_002251.jpg,train
2009_002175.jpg,train
2008_006827.jpg,cow
2012_003408.jpg,person
2011_002584.jpg,cow
2010_002469.jpg,motorbike
2008_008608.jpg,sofa
2010_003358.jpg,cat
2009_004358.jpg,cat
2008_005589.jpg,horse
2011_006292.jpg,person
2010_004264.jpg,cow
2010_004066.jpg,motorbike
2008_005591.jpg,dog
2010_000089.jpg,sheep
2010_003640.jpg,boat
2010_000249.jpg,person
2008_006798.jpg,dog
2012_003197.jpg,person
2011_005460.jpg,person
2008_006317.jpg,person
2011_000987.jpg,train
2008_000238.jpg,bus
2011_004732.jpg,person
2007_005702.jpg,bicycle
2008_001589.jpg,person
2011_002324.jpg,bottle
2009_005185.jpg,person
2008_003005.jpg,car
2009_002257.jpg,chair
2008_002073.jpg,bird
2011_002550.jpg,person
2009_000625.jpg,aeroplane
2010_003468.jpg,bottle
2011_004890.jpg,person
2008_004477.jpg,pottedplant
2007_003872.jpg,dog
2011_003973.jpg,person
2008_006355.jpg,cow
2009_003173.jpg,cow
2009_001388.jpg,car
2009_000897.jpg,motorbike
2007_001698.jpg,boat
2008_006190.jpg,cat
2011_006504.jpg,person
2011_006922.jpg,person
2007_006240.jpg,person
2009_001320.jpg,motorbike
2008_007476.jpg,tvmonitor
2011_003086.jpg,bus
2008_006778.jpg,aeroplane
2008_004270.jpg,person
2008_000723.jpg,person
2009_000001.jpg,horse
2008_008125.jpg,bird
2008_003819.jpg,bicycle
2008_006530.jpg,bus
2007_007688.jpg,motorbike
2011_005920.jpg,person
2009_004440.jpg,bus
2012_000386.jpg,person
2008_005699.jpg,cat
2008_005549.jpg,bottle
2011_001854.jpg,cow
2012_000658.jpg,person
2012_000567.jpg,person
2011_005637.jpg,person
2012_001254.jpg,person
2011_005592.jpg,person
2010_003877.jpg,bus
2008_000252.jpg,person
2011_000076.jpg,car
2009_001850.jpg,aeroplane
2009_001780.jpg,bicycle
